"fromId","mean_score","lat","lon","pop","amn_density","trafficScore","need","efficiency"
"59153146005",0.98,49.2679,-123.108,0.13,0.97,0.57,0.57,0.395833333333333
"59153146006",0.99,49.2679,-123.1101,0.13,0.98,0.57,0.58,0.395833333333333
"59153146009",0.98,49.269,-123.1112,0.85,0.98,0.51,0.94,0.0104166666666667
"59153146010",0.97,49.2683,-123.1127,0.93,0.98,0.57,0.98,-0.0416666666666667
"59153146012",0.96,49.2671,-123.1118,0.55,0.98,0.69,0.88,0.0520833333333333
"59153146013",0.97,49.267,-123.1134,0.62,0.98,0.7,0.92,0.0208333333333333
"59153146014",0.96,49.2676,-123.1141,0.9,0.98,0.57,0.97,-0.0416666666666667
"59153146017",0.94,49.2644,-123.1138,0.69,0.99,0.87,0.99,-0.0833333333333334
"59153146018",0.96,49.2636,-123.1138,0.55,1,0.87,0.96,-0.03125
"59153146019",0.95,49.2635,-123.1119,0.23,1,0.87,0.82,0.104166666666667
"59153146020",0.95,49.2643,-123.1119,0.13,1,0.87,0.77,0.15625
"59153146021",0.97,49.2643,-123.1102,0.16,0.99,0.87,0.78,0.166666666666667
"59153146022",0.97,49.2635,-123.1102,0.16,0.98,0.87,0.77,0.177083333333333
"59153146023",0.99,49.2635,-123.1081,0.16,0.98,0.87,0.77,0.197916666666667
"59153146024",0.98,49.2643,-123.1081,0.13,0.98,0.87,0.76,0.197916666666667
"59153146025",0.99,49.2652,-123.1081,0.27,0.98,0.87,0.83,0.135416666666667
"59153146026",0.97,49.2652,-123.1102,0.17,0.99,0.87,0.78,0.166666666666667
"59153146027",0.97,49.2661,-123.1101,0.21,0.99,0.87,0.8,0.145833333333333
"59153146028",0.96,49.2662,-123.1118,0.15,0.98,0.87,0.77,0.166666666666667
"59153146029",0.95,49.2652,-123.1118,0.17,0.98,0.87,0.78,0.145833333333333
"59153146030",0.98,49.267,-123.1101,0.13,0.98,0.7,0.66,0.302083333333333
"59153146031",0.97,49.267,-123.1081,0.13,0.97,0.7,0.66,0.291666666666667
"59153146032",0.98,49.2661,-123.1081,0.13,0.97,0.87,0.75,0.208333333333333
"59153146033",0.99,49.266,-123.1057,0.15,0.97,0.65,0.64,0.333333333333333
"59153146034",1,49.2651,-123.1058,0.21,0.97,0.65,0.68,0.302083333333333
"59153146035",1,49.2642,-123.1058,0.13,0.97,0.65,0.63,0.354166666666667
"59153146036",1,49.2634,-123.1058,0.21,0.98,0.65,0.68,0.302083333333333
"59153146037",1,49.266,-123.1038,0.15,0.97,0.65,0.64,0.34375
"59153146038",0.99,49.2669,-123.1038,0.16,0.97,0.61,0.62,0.354166666666667
"59153146039",0.98,49.2678,-123.1037,0.13,0.97,0.55,0.56,0.40625
