DAUID,DBPOP,lat,lon
59150175,224,49.3253,-123.0397
59150176,273,49.3267,-123.0442
59150176,280,49.325,-123.0424
59150176,0,49.3267,-123.0422
59150176,53,49.3264,-123.0415
59150177,38,49.3277,-123.04799999999999
59150177,32,49.3275,-123.0468
59150177,256,49.3281,-123.0439
59150178,39,49.3267,-123.0467
59150178,205,49.3244,-123.0447
59150178,103,49.3234,-123.0485
59150178,103,49.3224,-123.0485
59150178,133,49.3213,-123.0485
59150178,0,49.3224,-123.0447
59150178,149,49.3259,-123.0513
59150179,125,49.3288,-123.0516
59150179,0,49.3275,-123.0525
59150179,43,49.3279,-123.0497
59150179,256,49.3294,-123.0484
59150180,152,49.3245,-123.0527
59150180,122,49.3234,-123.0527
59150180,115,49.3224,-123.0527
59150180,145,49.3213,-123.0527
59150181,97,49.3235,-123.0615
59150181,94,49.3225,-123.0615
59150181,41,49.3224,-123.0555
59150181,42,49.3234,-123.0555
59150181,42,49.3245,-123.0555
59150181,35,49.3255,-123.0554
59150181,130,49.3229,-123.0581
